Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change 100,Volume Change 3,Sell Date,Holding Duration,Profit,Held Days
BEKE, 24.96B,  19.69$, 33.07%, 32.97%,2024-09-25, 4.01%,547.37%, 68.85%,2024-10-14,N/A,6.3992%,19
BR, 27.97B, 211.75$,  0.47%,  4.50%,2024-09-25, 1.34%, 35.21%, 58.45%,2024-10-21,N/A,2.4321%,26
BSAC, 11.09B,  21.25$,  4.50%,  9.45%,2024-09-25, 1.36%, 82.04%, 46.36%,2024-09-30,N/A,-4.2353%,5
DAL, 31.41B,  51.81$, 15.89%, 16.18%,2024-09-25, 3.49%,114.89%, 59.17%,2024-10-02,N/A,-8.3961%,7
DOCU, 17.71B,  62.53$,  8.29%, 10.77%,2024-09-25, 2.25%,104.53%, 43.80%,2024-10-24,N/A,10.3310%,29
FCX, 60.11B,  51.91$, 18.73%, 15.35%,2024-09-25, 1.58%,158.72%, 36.49%,2024-10-07,N/A,-6.3957%,12
FLEX, 13.88B,  34.00$,  9.36%, 19.44%,2024-09-25, 4.06%, 36.93%, 36.18%,2024-10-22,N/A,0.3235%,27
JBL, 16.03B, 126.65$, 17.51%,  4.13%,2024-09-25, 2.09%,140.16%, 61.02%,2024-10-22,N/A,-2.9293%,27
MFC, 54.18B,  29.63$,  5.63%, 19.99%,2024-09-25, 1.28%,224.97%,112.96%,2024-10-20,N/A,1.3837%,25
MSTR, 87.15B, 165.98$, 22.38%, 36.73%,2024-09-25, 5.03%, 41.08%, 49.40%,2024-11-03,N/A,34.3475%,38
SNX, 10.67B, 118.71$,  2.27%,  4.67%,2024-09-25, 1.19%, 63.48%, 52.16%,2024-09-30,N/A,-1.8196%,5
TCOM, 41.45B,  56.68$, 17.84%, 25.90%,2024-09-25, 3.32%,438.56%, 35.66%,2024-10-14,N/A,2.3641%,19
TECK, 20.50B,  53.40$, 13.20%, 17.75%,2024-09-25, 2.62%, 94.00%, 31.46%,2024-10-07,N/A,-9.0075%,12
TPR, 15.38B,  47.01$, 10.82%, 13.24%,2024-09-25, 1.98%, 55.65%, 31.25%,2024-10-07,N/A,-3.7226%,12
UAL, 25.58B,  58.85$, 20.38%, 27.64%,2024-09-25, 5.56%,150.87%, 78.96%,2024-12-08,N/A,63.1606%,73
YMM, 13.52B,   9.07$, 21.70%, 19.96%,2024-09-25, 1.43%,351.94%, 37.60%,2024-10-14,N/A,-2.6461%,19
YUMC, 19.61B,  43.86$, 24.76%, 19.72%,2024-09-25, 1.19%,338.63%, 66.89%,2024-10-13,N/A,6.7715%,18
ZTO, 16.10B,  23.94$,  9.05%, 16.61%,2024-09-25, 1.13%,135.25%, 45.92%,2024-10-14,N/A,3.4670%,19
AVERAGE,,,,,,,,,,,5.1016%,21.78
